journal,domain,tier,issn,volume_2024,total_dois
International Journal of Heat and Mass Transfer,stem,1,0017-9310,1914,35360
Acta Physica Sinica,stem,1,1000-3290,6392,34848
Physics of Fluids,stem,1,1070-6631,44984,34040
Poultry Science,stem,1,0032-5791,7318,34022
ACS Omega,stem,1,2470-1343,12998,34007
Journal of Applied Physiology,stem,1,8750-7587,788,33994
Bioresource Technology,stem,1,0960-8524,4512,33786
Frontiers in Plant Science,stem,1,1664-462X,14060,33730
Procedia Computer Science,stem,1,1877-0509,15388,33546
Chemical Engineering Science,stem,1,0009-2509,32720,33391
Colloids and Surfaces A: Physicochemical and Engineering Aspects,stem,1,0927-7757,50722,33135
Physica Scripta,stem,1,0031-8949,6343,33122
Nanoscale,stem,1,2040-3364,7977,32016
Small,stem,2,1613-6810,20022,31485
Nuclear Physics B,stem,2,0550-3213,2026,31434
Polymers,stem,2,2073-4360,7103,31016
IEEE Sensors Journal,stem,2,1530-437X,11767,30928
Applied Thermal Engineering,stem,2,1359-4311,67712,29910
New Journal of Chemistry,stem,2,1144-0546,9332,29675
Journal of Materials Science: Materials in Electronics,stem,2,0957-4522,11504,29456
Journal of Environmental Management,stem,2,0301-4797,19329,29128
Separation and Purification Technology,stem,2,1383-5866,17935,29080
Journal of Molecular Liquids,stem,2,0167-7322,1956,28360
Physics of Plasmas,stem,2,1070-664X,4134,28331
Journal of Hydrology,stem,2,0022-1694,5137,28298
ACS Nano,stem,2,1936-0851,14353,28201
Environmental Pollution,stem,2,0269-7491,9355,28144
IEEE Transactions on Instrumentation and Measurement,stem,2,0018-9456,11123,28083
Chemistry of Materials,stem,2,0897-4756,4403,27926
Applied Energy,stem,2,0306-2619,14244,26851
Journal of Mathematical Physics,stem,2,0022-2488,1934,26535
Materials Chemistry and Physics,stem,2,0254-0584,14738,26339
Renewable Energy,stem,2,0960-1481,10318,26250
Journal of Radioanalytical and Nuclear Chemistry,stem,2,0236-5731,1538,26188
IEEE Transactions on Geoscience and Remote Sensing,stem,2,0196-2892,10483,25972
Journal of Membrane Science,stem,2,0376-7388,5466,25942
Applied Mathematics and Computation,stem,2,0096-3003,1278,24867
Applied Physics A,stem,2,0947-8396,4542,24624
IEEE Transactions on Applied Superconductivity,stem,2,1051-8223,2354,24589
Ocean Engineering,stem,2,0029-8018,56408,24195
Animals,stem,2,2076-2615,5068,23876
Nanotechnology,stem,2,0957-4484,1298,23831
Journal of Materials Chemistry C,stem,2,2050-7526,13793,23576
Journal of Solid State Chemistry,stem,2,0022-4596,1326,23417
IEEE Transactions on Industrial Electronics,stem,2,0278-0046,4729,23300
Microchemical Journal,stem,2,0026-265X,7480,22665
European Journal of Organic Chemistry,stem,2,1434-193X,1540,22538
Journal of Environmental Chemical Engineering,stem,2,2213-3437,78283,22461
Engineering Structures,stem,2,0141-0296,34305,22127
Plants,stem,2,2223-7747,7615,21950
Nanomaterials,stem,2,2079-4991,4434,21940
Journal of Physics and Chemistry of Solids,stem,2,0022-3697,5342,21904
Journal of Ethnopharmacology,stem,2,0378-8741,3980,21498
Energy Conversion and Management,stem,2,0196-8904,3101,21494
Applied Microbiology and Biotechnology,stem,2,0175-7598,933,21338
Journal of Computational Physics,stem,2,0021-9991,3676,20878
IEEE Transactions on Power Electronics,stem,2,0885-8993,4419,20585
Soft Matter,stem,2,1744-683X,1815,20521
Chemical Physics,stem,2,0301-0104,2454,20372
Journal of Energy Storage,stem,2,2352-152X,25106,20262
Molecular Physics,stem,2,0026-8976,1166,20148
Chemical Science,stem,2,2041-6520,17821,20083
Processes,stem,2,2227-9717,7437,19840
Ecotoxicology and Environmental Safety,stem,2,0147-6513,9132,19520
Applied Catalysis B: Environment and Energy,stem,2,0926-3373,7410,19445
Chinese Physics B,stem,2,1674-1056,3842,19358
The Journal of Physical Chemistry Letters,stem,2,1948-7185,9205,19201
Advanced Science,stem,2,2198-3844,21714,19185
Agronomy,stem,2,2073-4395,6494,19157
Nuclear Engineering and Design,stem,2,0029-5493,11004,19140
Environmental Monitoring and Assessment,stem,2,0167-6369,2927,19004
European Journal of Inorganic Chemistry,stem,2,1434-1948,825,18998
Solar Energy,stem,2,0038-092X,1981,18803
European Journal of Medicinal Chemistry,stem,2,0223-5234,2396,18742
Applied Catalysis A: General,stem,2,0926-860X,975,18677
Toxicology and Applied Pharmacology,stem,2,0041-008X,774,18568
Chinese Physics Letters,stem,2,0256-307X,1280,18542
Industrial Crops and Products,stem,2,0926-6690,4813,18527
Science Advances,stem,2,2375-2548,12378,18492
Measurement Science and Technology,stem,2,0957-0233,8202,18263
Food and Chemical Toxicology,stem,2,0278-6915,1577,17990
Microorganisms,stem,2,2076-2607,4284,17618
The Physics Teacher,stem,2,0031-921X,1182,17438
Journal of Computational and Applied Mathematics,stem,2,0377-0427,1872,17318
Buildings,stem,2,2075-5309,14254,17194
Optical Materials,stem,2,0925-3467,3187,17063
Energy Policy,stem,2,0301-4215,1153,17023
Journal of Materials Research and Technology,stem,2,2238-7854,13503,16904
ACS Catalysis,stem,2,2155-5435,7079,16836
Computer Methods in Applied Mechanics and Engineering,stem,2,0045-7825,14507,16661
Inorganic Chemistry Communications,stem,2,1387-7003,4553,16573
Energy and Buildings,stem,2,0378-7788,3155,16408
Russian Physics Journal,stem,2,1064-8887,1199,16348
Fusion Engineering and Design,stem,2,0920-3796,8226,16318
Journal of Materials Engineering and Performance,stem,2,1059-9495,32054,16303
