journal,domain,tier,issn,total_dois,article_count_2024plus,crossref_title
Computational Geosciences,cs_ai,T2,1420-0597;1573-1499,1543,129,Computational Geosciences
IEEE Transactions on Green Communications and Networking,cs_ai,T3,2473-2400,1463,134,IEEE Transactions on Green Communications and Networking
ACM Transactions on Intelligent Systems and Technology,cs_ai,T3,2157-6904;2157-6912,1452,377,ACM Transactions on Intelligent Systems and Technology
ACM Transactions on Knowledge Discovery from Data,cs_ai,T3,1556-4681;1556-472X,1437,432,ACM Transactions on Knowledge Discovery from Data
"Artificial Intelligence for Engineering Design, Analysis and Manufacturing",cs_ai,T3,0890-0604;1469-1760,1392,52,Artificial intelligence for engineering design analysis and manufacturing
Engineering Applications of Computational Fluid Mechanics,cs_ai,T3,1994-2060;1997-003X,1375,314,Engineering Applications of Computational Fluid Mechanics
Data Mining and Knowledge Discovery,cs_ai,T3,1384-5810;1573-756X,1341,185,Data Mining and Knowledge Discovery
IEEE Transactions on Cognitive and Developmental Systems,cs_ai,T3,2379-8920;2379-8939,1334,291,IEEE Transactions on Cognitive and Developmental Systems
Transactions of the Japanese Society for Artificial Intelligence,cs_ai,T3,1346-0714;1346-8030,1329,158,Transactions of the Japanese Society for Artificial Intelligence
Machine Learning: Science and Technology,cs_ai,T3,2632-2153,1289,1588,Machine Learning Science and Technology
ACM Transactions on Asian and Low-Resource Language Information Processing,cs_ai,T3,2375-4699;2375-4702,1282,448,ACM Transactions on Asian and Low-Resource Language Information Processing
Theoretical and Computational Fluid Dynamics,cs_ai,T3,0935-4964;1432-2250,1226,76,Theoretical and Computational Fluid Dynamics
"Computers, Materials & Continua",cs_ai,T3,,1220,1220,
Network: Computation in Neural Systems,cs_ai,T3,0954-898X;1361-6536,1206,118,Network Computation in Neural Systems
Big Data and Cognitive Computing,cs_ai,T3,2504-2289,1196,653,Big Data and Cognitive Computing
ACM Transactions on Sensor Networks,cs_ai,T3,1550-4859;1550-4867,1180,238,ACM Transactions on Sensor Networks
